City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,camocim,-2.9022,-40.8411,25.77,86,71,5.83,BR,1678138669
84,fairbanks,64.8378,-147.7164,-1.77,68,100,0.0,US,1678138500
85,strezhevoy,60.7333,77.5889,-6.12,96,100,3.31,RU,1678138669
86,dayong,25.0209,118.2898,11.39,52,0,1.36,CN,1678138669
87,castro,-24.7911,-50.0119,18.4,91,95,1.85,BR,1678138670
88,hobart,-42.8794,147.3294,14.92,65,40,7.2,AU,1678138429
89,hasaki,35.7333,140.8333,2.22,77,0,3.08,JP,1678138670
90,iqaluit,63.7506,-68.5145,-3.5,100,75,5.66,CA,1678138670
91,bredasdorp,-34.5322,20.0403,17.33,76,34,3.97,ZA,1678138671
92,silver city,32.7701,-108.2803,17.17,24,100,5.81,US,1678138671
93,asha,54.9973,57.2722,-6.01,98,100,1.34,RU,1678138671
94,barrow,71.2906,-156.7887,-10.99,85,75,9.26,US,1678138672
95,tuktoyaktuk,69.4541,-133.0374,-29.0,76,40,3.6,CA,1678138672
96,khovu-aksy,51.1333,93.6,-10.1,90,79,1.99,RU,1678138672
97,westport,41.1415,-73.3579,11.21,24,0,7.72,US,1678138615
98,comodoro rivadavia,-45.8667,-67.5,19.92,32,75,11.83,AR,1678138654
99,sembe,1.6481,14.5806,27.25,56,88,2.2,CG,1678138672
100,pangnirtung,66.1451,-65.7125,-3.0,86,0,0.0,CA,1678138673
101,lozuvatka,48.0571,33.2858,3.01,87,100,3.12,UA,1678138673
102,rantepao,-2.9701,119.8978,17.67,93,90,1.37,ID,1678138673
103,igrim,63.1906,64.4162,-19.74,99,89,1.58,RU,1678138674
104,mahibadhoo,3.7833,72.9667,27.7,73,100,5.1,MV,1678138674
105,sabzevar,36.2126,57.6819,15.11,33,1,2.5,IR,1678138674
106,altamont,42.2068,-121.7372,0.99,77,100,7.2,US,1678138675
107,amapa,1.0,-52.0,23.08,98,100,2.08,BR,1678138675
108,chara,56.9064,118.2631,-23.61,74,24,0.72,RU,1678138620
109,kaili,-3.4626,120.2147,18.19,91,100,1.63,ID,1678138675
110,luderitz,-26.6481,15.1594,16.88,81,0,9.59,NA,1678138675
111,necochea,-38.5473,-58.7368,34.86,26,79,5.41,AR,1678138676
112,nome,64.5011,-165.4064,0.65,100,100,6.69,US,1678138676
113,sitka,57.0531,-135.33,0.94,25,0,3.6,US,1678138676
114,kerema,-7.9631,145.7785,26.18,78,95,1.38,PG,1678138677
115,new norfolk,-42.7826,147.0587,14.72,66,62,2.68,AU,1678138677
116,castleford,53.7259,-1.3626,4.81,79,100,1.29,GB,1678138677
117,cockburn town,21.4612,-71.1419,24.71,67,7,5.33,TC,1678138678
118,atuona,-9.8,-139.0333,26.67,78,11,5.65,PF,1678138678
119,roma,43.2128,-75.4557,4.08,30,20,3.09,US,1678138563
120,general roca,-39.0333,-67.5833,34.79,9,33,14.03,AR,1678138678
121,provideniya,64.3833,-173.3,-5.94,86,100,0.0,RU,1678138678
122,bolgatanga,10.7856,-0.8514,31.49,12,11,3.04,GH,1678138679
123,araouane,18.9048,-3.5265,25.07,10,100,3.45,ML,1678138679
124,sao filipe,14.8961,-24.4956,22.78,74,83,2.42,CV,1678138679
